Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,February,MOP,Jammu & Kashmir,0.00,744.00,,,
2014-2015,February,NPK,Jammu & Kashmir,0.00,0.00,,,
2014-2015,February,TSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,February,UREA,Jammu & Kashmir,0.00,2775.20,,,
2014-2015,February,SSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,February,DAP,Jharkhand,0.00,48.70,,,
2014-2015,February,MAP,Jharkhand,0.00,0.00,,,
2014-2015,February,MOP,Jharkhand,0.00,0.00,,,
2014-2015,February,NPK,Jharkhand,0.00,1632.30,,,
2014-2015,February,TSP,Jharkhand,0.00,0.00,,,
2014-2015,February,UREA,Jharkhand,0.00,33.25,,,
2014-2015,February,SSP,Jharkhand,0.00,0.00,,,
2014-2015,February,DAP,Karnataka,32000.00,21105.88,,,
2014-2015,February,MAP,Karnataka,0.00,0.00,,,
2014-2015,February,MOP,Karnataka,23000.00,54179.15,,,
2014-2015,February,NPK,Karnataka,85000.00,87593.82,,,
2014-2015,February,TSP,Karnataka,0.00,11905.40,,,
2014-2015,February,UREA,Karnataka,80000.00,6923.93,,,
2014-2015,February,SSP,Karnataka,9650.00,0.00,,,
2014-2015,February,DAP,Kerala,0.00,4076.55,,,
2014-2015,February,MAP,Kerala,0.00,0.00,,,
2014-2015,February,MOP,Kerala,0.00,3831.80,,,
2014-2015,February,NPK,Kerala,0.00,12202.09,,,
2014-2015,February,TSP,Kerala,0.00,3156.75,,,
2014-2015,February,UREA,Kerala,0.00,199.30,,,
2014-2015,February,SSP,Kerala,0.00,0.00,,,
2014-2015,February,DAP,Lakshadweep,0.00,0.00,,,
2014-2015,February,MAP,Lakshadweep,0.00,0.00,,,
2014-2015,February,MOP,Lakshadweep,0.00,0.00,,,
2014-2015,February,NPK,Lakshadweep,0.00,0.00,,,
2014-2015,February,TSP,Lakshadweep,0.00,0.00,,,
2014-2015,February,UREA,Lakshadweep,0.00,0.00,,,
2014-2015,February,SSP,Lakshadweep,0.00,0.00,,,
2014-2015,February,DAP,Madhya Pradesh,0.00,52324.17,,,
2014-2015,February,MAP,Madhya Pradesh,0.00,0.00,,,
2014-2015,February,MOP,Madhya Pradesh,0.00,24090.85,,,
2014-2015,February,NPK,Madhya Pradesh,0.00,38373.85,,,
2014-2015,February,TSP,Madhya Pradesh,0.00,8443.85,,,
2014-2015,February,UREA,Madhya Pradesh,0.00,8017.50,,,
2014-2015,February,SSP,Madhya Pradesh,0.00,0.00,,,
2014-2015,February,DAP,Maharastra,34900.00,46290.37,,,
2014-2015,February,MAP,Maharastra,0.00,0.00,,,
2014-2015,February,MOP,Maharastra,19700.00,90586.12,,,
2014-2015,February,NPK,Maharastra,100800.00,163470.38,,,
2014-2015,February,TSP,Maharastra,0.00,0.00,,,
2014-2015,February,UREA,Maharastra,115100.00,9412.18,,,
2014-2015,February,SSP,Maharastra,0.00,0.00,,,
2014-2015,February,DAP,Manipur,0.00,0.00,,,
2014-2015,February,MAP,Manipur,0.00,0.00,,,
2014-2015,February,MOP,Manipur,0.00,0.00,,,
2014-2015,February,NPK,Manipur,0.00,0.00,,,
2014-2015,February,TSP,Manipur,0.00,0.00,,,
2014-2015,February,UREA,Manipur,0.00,0.00,,,
2014-2015,February,SSP,Manipur,0.00,0.00,,,
2014-2015,February,DAP,Megalaya,0.00,0.00,,,
2014-2015,February,MAP,Megalaya,0.00,0.00,,,
2014-2015,February,MOP,Megalaya,0.00,0.00,,,
2014-2015,February,NPK,Megalaya,0.00,0.00,,,
2014-2015,February,TSP,Megalaya,0.00,0.00,,,
2014-2015,February,UREA,Megalaya,0.00,0.00,,,
2014-2015,February,SSP,Megalaya,0.00,0.00,,,
2014-2015,February,DAP,Mizoram,0.00,0.00,,,
2014-2015,February,MAP,Mizoram,0.00,0.00,,,
2014-2015,February,MOP,Mizoram,0.00,0.00,,,
2014-2015,February,NPK,Mizoram,0.00,0.00,,,
2014-2015,February,TSP,Mizoram,0.00,0.00,,,
2014-2015,February,UREA,Mizoram,0.00,0.00,,,
2014-2015,February,SSP,Mizoram,0.00,0.00,,,
2014-2015,February,DAP,Nagaland,0.00,0.00,,,
2014-2015,February,MAP,Nagaland,0.00,0.00,,,
2014-2015,February,MOP,Nagaland,0.00,0.00,,,
2014-2015,February,NPK,Nagaland,0.00,0.00,,,
2014-2015,February,TSP,Nagaland,0.00,0.00,,,
2014-2015,February,UREA,Nagaland,0.00,0.00,,,
2014-2015,February,SSP,Nagaland,0.00,0.00,,,
2014-2015,February,DAP,Orissa,0.00,8423.25,,,
2014-2015,February,MAP,Orissa,0.00,0.00,,,
2014-2015,February,MOP,Orissa,0.00,7903.10,,,
2014-2015,February,NPK,Orissa,0.00,17344.80,,,
2014-2015,February,TSP,Orissa,0.00,0.00,,,
2014-2015,February,UREA,Orissa,0.00,5043.40,,,
2014-2015,February,SSP,Orissa,0.00,0.00,,,
2014-2015,February,DAP,Pondicherry,0.00,74.00,,,
2014-2015,February,MAP,Pondicherry,0.00,0.00,,,
2014-2015,February,MOP,Pondicherry,0.00,58.00,,,
2014-2015,February,NPK,Pondicherry,0.00,535.60,,,
2014-2015,February,TSP,Pondicherry,0.00,0.00,,,
2014-2015,February,UREA,Pondicherry,0.00,468.00,,,
2014-2015,February,SSP,Pondicherry,0.00,0.00,,,
2014-2015,February,DAP,Punjab,0.00,15417.95,,,
2014-2015,February,MAP,Punjab,0.00,0.00,,,
2014-2015,February,MOP,Punjab,0.00,13189.00,,,
2014-2015,February,NPK,Punjab,0.00,495.85,,,
2014-2015,February,TSP,Punjab,0.00,3355.30,,,
2014-2015,February,UREA,Punjab,0.00,1063.75,,,
2014-2015,February,SSP,Punjab,0.00,0.00,,,
2014-2015,February,DAP,Rajasthan,0.00,5177.15,,,
2014-2015,February,MAP,Rajasthan,0.00,0.00,,,
2014-2015,February,MOP,Rajasthan,0.00,3496.70,,,
2014-2015,February,NPK,Rajasthan,0.00,2568.60,,,
